First_Name,Last_Name,Full_Name,GPA,Major,Relevant_Courses,Skills,Certifications,Previous_Experience,Preferred_Industry,Extracurriculars,Predicted_Job_Role
Olivia,Williams,Olivia Williams,3.97,Business Analytics,"['SQL', 'Predictive Analytics']","['C++', 'Network Security', 'Python']",['AWS Certified'],0,Healthcare,"['Student Government', 'Research Assistant']",Cybersecurity Intern
Aiden,Jones,Aiden Jones,3.43,Software Engineering,"['Databases', 'Cloud Computing']","['Cloud Computing', 'C++', 'Financial Analysis']",['Certified Ethical Hacker'],2,Education,"['Finance Club', 'Hackathons']",Financial Analyst Intern
Sophia,Miller,Sophia Miller,3.35,Software Engineering,"['DevOps', 'Software Development']","['Python', 'Java', 'Machine Learning']",['Google Data Analytics'],3,Government,"['Hackathons', 'Student Government']",Data Analyst Intern
Jackson,Davis,Jackson Davis,3.45,Cybersecurity,"['Cryptography', 'Network Security']","['Python', 'C++', 'Java']",['Google Data Analytics'],0,Finance,"['Hackathons', 'Student Government']",Software Engineering Intern
Ava,Garcia,Ava Garcia,2.58,Business Analytics,"['Data Analytics', 'SQL']","['Network Security', 'Financial Analysis', 'Machine Learning']",['Certified Ethical Hacker'],0,Healthcare,"['Finance Club', 'Research Assistant']",Cybersecurity Intern
Lucas,Rodriguez,Lucas Rodriguez,2.78,Computer Science,"['Algorithms', 'Operating Systems']","['Risk Management', 'Python', 'Network Security']",['AWS Certified'],2,Finance,"['Coding Club', 'Finance Club']",Cybersecurity Intern
Isabella,Wilson,Isabella Wilson,3.81,Computer Science,"['Operating Systems', 'Data Structures']","['C++', 'SQL', 'Network Security']",['CFA Level 1'],0,Tech,"['Hackathons', 'Finance Club']",Cybersecurity Intern
Mason,Martinez,Mason Martinez,2.86,Software Engineering,"['Software Development', 'Cloud Computing']","['Financial Analysis', 'SQL', 'Cloud Computing']",['CFA Level 1'],3,Finance,"['Research Assistant', 'Finance Club']",Financial Analyst Intern
Mia,Anderson,Mia Anderson,2.69,Cybersecurity,"['Cryptography', 'Ethical Hacking']","['Java', 'Network Security', 'Data Analysis']",['AWS Certified'],3,Tech,"['Coding Club', 'Finance Club']",Cybersecurity Intern
Ethan,Taylor,Ethan Taylor,3.47,Cybersecurity,"['Ethical Hacking', 'Cyber Law']","['C++', 'Python', 'Cloud Computing']",['PMP'],0,Healthcare,"['Student Government', 'Finance Club']",Software Engineering Intern
Amelia,Thomas,Amelia Thomas,3.03,Business Analytics,"['Business Intelligence', 'Data Analytics']","['C++', 'Machine Learning', 'Cloud Computing']",['Google Data Analytics'],3,Finance,"['Hackathons', 'Research Assistant']",Data Analyst Intern
James,Hernandez,James Hernandez,3.63,Computer Science,"['Algorithms', 'Operating Systems']","['Machine Learning', 'C++', 'Python']",['CFA Level 1'],2,Healthcare,"['Finance Club', 'Student Government']",Data Analyst Intern
Harper,Moore,Harper Moore,3.28,Software Engineering,"['Software Development', 'Databases']","['Data Analysis', 'Risk Management', 'Cloud Computing']",['AWS Certified'],3,Healthcare,"['Research Assistant', 'Coding Club']",Data Analyst Intern
Alexander,Martin,Alexander Martin,3.18,Software Engineering,"['DevOps', 'Software Development']","['Python', 'Data Analysis', 'Machine Learning']",['Certified Ethical Hacker'],3,Tech,"['Hackathons', 'Research Assistant']",Data Analyst Intern
Evelyn,Jackson,Evelyn Jackson,2.68,Computer Science,"['Algorithms', 'Operating Systems']","['Data Analysis', 'C++', 'Financial Analysis']",['Certified Ethical Hacker'],0,Government,"['Coding Club', 'Finance Club']",Data Analyst Intern
Benjamin,Thompson,Benjamin Thompson,2.72,Software Engineering,"['Cloud Computing', 'Databases']","['Network Security', 'Java', 'Python']",['Google Data Analytics'],3,Finance,"['Research Assistant', 'Student Government']",Cybersecurity Intern
Abigail,White,Abigail White,3.14,Cybersecurity,"['Cyber Law', 'Cryptography']","['Cloud Computing', 'Java', 'Machine Learning']",['CFA Level 1'],2,Education,"['Finance Club', 'Student Government']",Data Analyst Intern
Liam,Smith,Liam Smith,2.59,Software Engineering,"['Databases', 'Cloud Computing']","['Financial Analysis', 'Risk Management', 'Network Security']",['CFA Level 1'],1,Government,"['Student Government', 'Finance Club']",Cybersecurity Intern
Emma,Johnson,Emma Johnson,2.87,Cybersecurity,"['Ethical Hacking', 'Cyber Law']","['Network Security', 'Java', 'Data Analysis']",['PMP'],1,Finance,"['Hackathons', 'Student Government']",Cybersecurity Intern
Noah,Brown,Noah Brown,3.16,Cybersecurity,"['Network Security', 'Cryptography']","['Java', 'Python', 'Cloud Computing']",['Google Data Analytics'],1,Healthcare,"['Finance Club', 'Research Assistant']",Software Engineering Intern
Olivia,Williams,Olivia Williams,2.71,Data Analytics,"['Python for Data Science', 'Big Data']","['Risk Management', 'Machine Learning', 'Data Analysis']",['Certified Ethical Hacker'],2,Education,"['Research Assistant', 'Student Government']",Data Analyst Intern
Aiden,Jones,Aiden Jones,3.41,Software Engineering,"['Databases', 'Software Development']","['Financial Analysis', 'Cloud Computing', 'SQL']",['PMP'],2,Healthcare,"['Student Government', 'Coding Club']",Financial Analyst Intern
Sophia,Miller,Sophia Miller,3.24,Business Analytics,"['Predictive Analytics', 'SQL']","['SQL', 'Cloud Computing', 'Python']",['Google Data Analytics'],3,Tech,"['Student Government', 'Finance Club']",Software Engineering Intern
Jackson,Davis,Jackson Davis,3.49,Business Analytics,"['SQL', 'Predictive Analytics']","['Cloud Computing', 'C++', 'Financial Analysis']",['AWS Certified'],2,Finance,"['Research Assistant', 'Hackathons']",Financial Analyst Intern
Ava,Garcia,Ava Garcia,2.73,Computer Science,"['Algorithms', 'Machine Learning']","['Python', 'Machine Learning', 'Java']",['Google Data Analytics'],3,Healthcare,"['Coding Club', 'Student Government']",Data Analyst Intern
Lucas,Rodriguez,Lucas Rodriguez,3.96,Finance,"['Risk Management', 'Financial Modeling']","['SQL', 'Risk Management', 'C++']",['PMP'],2,Finance,"['Coding Club', 'Finance Club']",Financial Analyst Intern
Isabella,Wilson,Isabella Wilson,2.64,Software Engineering,"['Software Development', 'DevOps']","['Data Analysis', 'Machine Learning', 'SQL']",['CFA Level 1'],0,Government,"['Finance Club', 'Coding Club']",Data Analyst Intern
Mason,Martinez,Mason Martinez,3.31,Software Engineering,"['Software Development', 'Databases']","['Network Security', 'Machine Learning', 'Data Analysis']",['CFA Level 1'],2,Healthcare,"['Coding Club', 'Finance Club']",Cybersecurity Intern
Mia,Anderson,Mia Anderson,3.86,Finance,"['Investment Analysis', 'Risk Management']","['Java', 'Risk Management', 'Cloud Computing']",['PMP'],3,Government,"['Coding Club', 'Student Government']",Financial Analyst Intern
Ethan,Taylor,Ethan Taylor,3.89,Data Analytics,"['Python for Data Science', 'Data Visualization']","['Cloud Computing', 'Data Analysis', 'Financial Analysis']",['Google Data Analytics'],3,Finance,"['Finance Club', 'Coding Club']",Data Analyst Intern
Amelia,Thomas,Amelia Thomas,3.67,Computer Science,"['Algorithms', 'Operating Systems']","['Cloud Computing', 'Python', 'Machine Learning']",['PMP'],1,Healthcare,"['Student Government', 'Research Assistant']",Data Analyst Intern
James,Hernandez,James Hernandez,3.66,Cybersecurity,"['Cyber Law', 'Ethical Hacking']","['Data Analysis', 'C++', 'Java']",['CFA Level 1'],0,Finance,"['Hackathons', 'Student Government']",Data Analyst Intern
Harper,Moore,Harper Moore,3.11,Data Analytics,"['Data Visualization', 'Big Data']","['SQL', 'Java', 'Data Analysis']",['AWS Certified'],3,Tech,"['Research Assistant', 'Hackathons']",Data Analyst Intern
Alexander,Martin,Alexander Martin,2.89,Business Analytics,"['Business Intelligence', 'Predictive Analytics']","['Network Security', 'Financial Analysis', 'Python']",['CFA Level 1'],2,Government,"['Research Assistant', 'Finance Club']",Cybersecurity Intern
Evelyn,Jackson,Evelyn Jackson,2.7,Business Analytics,"['Data Analytics', 'Business Intelligence']","['Machine Learning', 'C++', 'Risk Management']",['PMP'],3,Finance,"['Research Assistant', 'Finance Club']",Data Analyst Intern
Benjamin,Thompson,Benjamin Thompson,2.7,Business Analytics,"['SQL', 'Data Analytics']","['Financial Analysis', 'Java', 'Machine Learning']",['AWS Certified'],3,Education,"['Research Assistant', 'Finance Club']",Data Analyst Intern
Abigail,White,Abigail White,3.16,Data Analytics,"['Data Visualization', 'Statistics']","['Java', 'Risk Management', 'Python']",['Google Data Analytics'],3,Tech,"['Coding Club', 'Student Government']",Financial Analyst Intern
Liam,Smith,Liam Smith,3.08,Cybersecurity,"['Cryptography', 'Ethical Hacking']","['Python', 'C++', 'Financial Analysis']",['Certified Ethical Hacker'],3,Government,"['Hackathons', 'Coding Club']",Financial Analyst Intern
Emma,Johnson,Emma Johnson,3.37,Data Analytics,"['Statistics', 'Big Data']","['Python', 'Java', 'Machine Learning']",['Certified Ethical Hacker'],0,Finance,"['Research Assistant', 'Coding Club']",Data Analyst Intern
Noah,Brown,Noah Brown,3.49,Cybersecurity,"['Cryptography', 'Network Security']","['Risk Management', 'C++', 'Cloud Computing']",['CFA Level 1'],1,Finance,"['Finance Club', 'Hackathons']",Financial Analyst Intern
Olivia,Williams,Olivia Williams,3.91,Cybersecurity,"['Cryptography', 'Cyber Law']","['Network Security', 'Java', 'SQL']",['AWS Certified'],0,Education,"['Hackathons', 'Research Assistant']",Cybersecurity Intern
Aiden,Jones,Aiden Jones,3.21,Cybersecurity,"['Cryptography', 'Ethical Hacking']","['Data Analysis', 'Financial Analysis', 'SQL']",['Certified Ethical Hacker'],1,Tech,"['Finance Club', 'Research Assistant']",Data Analyst Intern
Sophia,Miller,Sophia Miller,3.55,Cybersecurity,"['Network Security', 'Cyber Law']","['C++', 'Data Analysis', 'Python']",['CFA Level 1'],1,Healthcare,"['Coding Club', 'Finance Club']",Data Analyst Intern
Jackson,Davis,Jackson Davis,2.67,Computer Science,"['Data Structures', 'Machine Learning']","['Network Security', 'Financial Analysis', 'C++']",['AWS Certified'],2,Government,"['Finance Club', 'Research Assistant']",Cybersecurity Intern
Ava,Garcia,Ava Garcia,3.86,Data Analytics,"['Python for Data Science', 'Statistics']","['Cloud Computing', 'Machine Learning', 'Network Security']",['Google Data Analytics'],2,Tech,"['Hackathons', 'Research Assistant']",Cybersecurity Intern
Lucas,Rodriguez,Lucas Rodriguez,2.99,Business Analytics,"['Business Intelligence', 'SQL']","['SQL', 'Risk Management', 'Python']",['CFA Level 1'],3,Education,"['Hackathons', 'Coding Club']",Financial Analyst Intern
Isabella,Wilson,Isabella Wilson,2.5,Software Engineering,"['DevOps', 'Cloud Computing']","['Network Security', 'Data Analysis', 'Cloud Computing']",['Certified Ethical Hacker'],3,Tech,"['Student Government', 'Hackathons']",Cybersecurity Intern
Mason,Martinez,Mason Martinez,2.67,Cybersecurity,"['Cyber Law', 'Cryptography']","['SQL', 'Machine Learning', 'Financial Analysis']",['Certified Ethical Hacker'],2,Tech,"['Hackathons', 'Student Government']",Data Analyst Intern
Mia,Anderson,Mia Anderson,3.5,Software Engineering,"['Cloud Computing', 'DevOps']","['Cloud Computing', 'Machine Learning', 'C++']",['PMP'],1,Government,"['Research Assistant', 'Coding Club']",Data Analyst Intern
Ethan,Taylor,Ethan Taylor,3.46,Business Analytics,"['Data Analytics', 'Predictive Analytics']","['Python', 'Data Analysis', 'SQL']",['AWS Certified'],0,Education,"['Hackathons', 'Finance Club']",Data Analyst Intern
Amelia,Thomas,Amelia Thomas,3.11,Data Analytics,"['Python for Data Science', 'Data Visualization']","['C++', 'Network Security', 'Python']",['Certified Ethical Hacker'],0,Tech,"['Hackathons', 'Student Government']",Cybersecurity Intern
James,Hernandez,James Hernandez,2.69,Data Analytics,"['Python for Data Science', 'Big Data']","['SQL', 'Cloud Computing', 'Network Security']",['Google Data Analytics'],3,Healthcare,"['Student Government', 'Finance Club']",Cybersecurity Intern
Harper,Moore,Harper Moore,3.22,Software Engineering,"['Cloud Computing', 'Software Development']","['C++', 'SQL', 'Financial Analysis']",['CFA Level 1'],0,Education,"['Student Government', 'Hackathons']",Financial Analyst Intern
Alexander,Martin,Alexander Martin,3.07,Finance,"['Financial Modeling', 'Accounting']","['Python', 'Financial Analysis', 'Cloud Computing']",['PMP'],2,Tech,"['Student Government', 'Research Assistant']",Financial Analyst Intern
Evelyn,Jackson,Evelyn Jackson,3.13,Computer Science,"['Machine Learning', 'Data Structures']","['Financial Analysis', 'C++', 'Python']",['CFA Level 1'],0,Finance,"['Hackathons', 'Finance Club']",Financial Analyst Intern
Benjamin,Thompson,Benjamin Thompson,3.76,Data Analytics,"['Statistics', 'Big Data']","['Network Security', 'C++', 'Cloud Computing']",['Certified Ethical Hacker'],0,Tech,"['Student Government', 'Finance Club']",Cybersecurity Intern
Abigail,White,Abigail White,3.34,Software Engineering,"['Cloud Computing', 'DevOps']","['Cloud Computing', 'C++', 'SQL']",['Certified Ethical Hacker'],3,Healthcare,"['Hackathons', 'Student Government']",Software Engineering Intern
Liam,Smith,Liam Smith,3.34,Cybersecurity,"['Cryptography', 'Network Security']","['Data Analysis', 'Cloud Computing', 'Machine Learning']",['Google Data Analytics'],0,Healthcare,"['Finance Club', 'Hackathons']",Data Analyst Intern
Emma,Johnson,Emma Johnson,3.13,Computer Science,"['Data Structures', 'Operating Systems']","['Java', 'Network Security', 'C++']",['Google Data Analytics'],2,Tech,"['Coding Club', 'Research Assistant']",Cybersecurity Intern
Noah,Brown,Noah Brown,3.01,Cybersecurity,"['Cyber Law', 'Cryptography']","['C++', 'Machine Learning', 'SQL']",['Google Data Analytics'],1,Government,"['Research Assistant', 'Finance Club']",Data Analyst Intern
Olivia,Williams,Olivia Williams,2.77,Software Engineering,"['Databases', 'DevOps']","['Risk Management', 'Java', 'Python']",['PMP'],3,Tech,"['Student Government', 'Coding Club']",Financial Analyst Intern
Aiden,Jones,Aiden Jones,3.12,Data Analytics,"['Big Data', 'Statistics']","['Risk Management', 'Machine Learning', 'Financial Analysis']",['Certified Ethical Hacker'],1,Tech,"['Student Government', 'Hackathons']",Data Analyst Intern
Sophia,Miller,Sophia Miller,2.6,Business Analytics,"['Data Analytics', 'Business Intelligence']","['Java', 'Risk Management', 'Financial Analysis']",['Certified Ethical Hacker'],3,Healthcare,"['Finance Club', 'Student Government']",Financial Analyst Intern
Jackson,Davis,Jackson Davis,2.57,Software Engineering,"['Cloud Computing', 'DevOps']","['Financial Analysis', 'Java', 'C++']",['CFA Level 1'],1,Tech,"['Coding Club', 'Student Government']",Financial Analyst Intern
Ava,Garcia,Ava Garcia,3.32,Finance,"['Investment Analysis', 'Financial Modeling']","['C++', 'Machine Learning', 'Data Analysis']",['Certified Ethical Hacker'],1,Finance,"['Research Assistant', 'Finance Club']",Data Analyst Intern
Lucas,Rodriguez,Lucas Rodriguez,2.73,Cybersecurity,"['Cryptography', 'Ethical Hacking']","['Risk Management', 'Java', 'Data Analysis']",['Google Data Analytics'],0,Finance,"['Coding Club', 'Finance Club']",Data Analyst Intern
Isabella,Wilson,Isabella Wilson,2.53,Business Analytics,"['SQL', 'Business Intelligence']","['C++', 'Java', 'SQL']",['Certified Ethical Hacker'],3,Government,"['Research Assistant', 'Coding Club']",Software Engineering Intern
Mason,Martinez,Mason Martinez,3.53,Finance,"['Financial Modeling', 'Accounting']","['Data Analysis', 'Risk Management', 'C++']",['Google Data Analytics'],3,Education,"['Finance Club', 'Hackathons']",Data Analyst Intern
Mia,Anderson,Mia Anderson,3.27,Finance,"['Risk Management', 'Accounting']","['Network Security', 'SQL', 'Risk Management']",['Certified Ethical Hacker'],3,Education,"['Finance Club', 'Coding Club']",Cybersecurity Intern
Ethan,Taylor,Ethan Taylor,2.63,Finance,"['Risk Management', 'Accounting']","['C++', 'Network Security', 'Cloud Computing']",['PMP'],0,Government,"['Research Assistant', 'Coding Club']",Cybersecurity Intern
Amelia,Thomas,Amelia Thomas,3.72,Software Engineering,"['Databases', 'DevOps']","['Network Security', 'Java', 'SQL']",['Certified Ethical Hacker'],3,Healthcare,"['Research Assistant', 'Finance Club']",Cybersecurity Intern
James,Hernandez,James Hernandez,2.77,Business Analytics,"['Predictive Analytics', 'Data Analytics']","['Network Security', 'Python', 'SQL']",['Google Data Analytics'],1,Government,"['Coding Club', 'Research Assistant']",Cybersecurity Intern
Harper,Moore,Harper Moore,3.28,Data Analytics,"['Statistics', 'Big Data']","['SQL', 'Network Security', 'Data Analysis']",['CFA Level 1'],0,Healthcare,"['Research Assistant', 'Student Government']",Cybersecurity Intern
Alexander,Martin,Alexander Martin,2.58,Software Engineering,"['Cloud Computing', 'Software Development']","['Python', 'Machine Learning', 'Network Security']",['PMP'],2,Government,"['Research Assistant', 'Student Government']",Cybersecurity Intern
Evelyn,Jackson,Evelyn Jackson,2.72,Computer Science,"['Algorithms', 'Data Structures']","['C++', 'Data Analysis', 'Python']",['PMP'],1,Tech,"['Student Government', 'Finance Club']",Data Analyst Intern
Benjamin,Thompson,Benjamin Thompson,3.15,Cybersecurity,"['Cyber Law', 'Ethical Hacking']","['Financial Analysis', 'Machine Learning', 'C++']",['AWS Certified'],1,Tech,"['Finance Club', 'Hackathons']",Data Analyst Intern
Abigail,White,Abigail White,3.55,Data Analytics,"['Python for Data Science', 'Big Data']","['Cloud Computing', 'Machine Learning', 'Java']",['AWS Certified'],1,Tech,"['Finance Club', 'Research Assistant']",Data Analyst Intern
Liam,Smith,Liam Smith,2.6,Software Engineering,"['DevOps', 'Software Development']","['Financial Analysis', 'SQL', 'Risk Management']",['PMP'],3,Government,"['Coding Club', 'Hackathons']",Financial Analyst Intern
Emma,Johnson,Emma Johnson,3.14,Computer Science,"['Operating Systems', 'Data Structures']","['Java', 'Machine Learning', 'Network Security']",['CFA Level 1'],3,Healthcare,"['Research Assistant', 'Coding Club']",Cybersecurity Intern
Noah,Brown,Noah Brown,2.74,Software Engineering,"['Databases', 'Software Development']","['Data Analysis', 'Cloud Computing', 'Java']",['Google Data Analytics'],3,Education,"['Research Assistant', 'Student Government']",Data Analyst Intern
Olivia,Williams,Olivia Williams,3.95,Cybersecurity,"['Network Security', 'Ethical Hacking']","['Java', 'Network Security', 'Cloud Computing']",['Google Data Analytics'],0,Finance,"['Research Assistant', 'Hackathons']",Cybersecurity Intern
Aiden,Jones,Aiden Jones,3.03,Software Engineering,"['DevOps', 'Software Development']","['Java', 'SQL', 'Network Security']",['PMP'],0,Tech,"['Hackathons', 'Research Assistant']",Cybersecurity Intern
Sophia,Miller,Sophia Miller,3.7,Cybersecurity,"['Cyber Law', 'Ethical Hacking']","['Data Analysis', 'Cloud Computing', 'Machine Learning']",['AWS Certified'],3,Education,"['Hackathons', 'Coding Club']",Data Analyst Intern
Jackson,Davis,Jackson Davis,3.31,Computer Science,"['Data Structures', 'Operating Systems']","['Python', 'Cloud Computing', 'Network Security']",['Certified Ethical Hacker'],2,Healthcare,"['Student Government', 'Finance Club']",Cybersecurity Intern
Ava,Garcia,Ava Garcia,2.78,Computer Science,"['Data Structures', 'Algorithms']","['Machine Learning', 'Data Analysis', 'Java']",['Certified Ethical Hacker'],3,Healthcare,"['Research Assistant', 'Coding Club']",Data Analyst Intern
Lucas,Rodriguez,Lucas Rodriguez,3.42,Business Analytics,"['Business Intelligence', 'Data Analytics']","['Network Security', 'Python', 'Data Analysis']",['Google Data Analytics'],3,Healthcare,"['Hackathons', 'Finance Club']",Cybersecurity Intern
Isabella,Wilson,Isabella Wilson,3.2,Data Analytics,"['Python for Data Science', 'Big Data']","['Cloud Computing', 'Machine Learning', 'Python']",['CFA Level 1'],3,Tech,"['Finance Club', 'Student Government']",Data Analyst Intern
Mason,Martinez,Mason Martinez,2.58,Data Analytics,"['Python for Data Science', 'Statistics']","['Network Security', 'Data Analysis', 'Financial Analysis']",['Certified Ethical Hacker'],1,Government,"['Coding Club', 'Research Assistant']",Cybersecurity Intern
Mia,Anderson,Mia Anderson,3.84,Computer Science,"['Algorithms', 'Machine Learning']","['Python', 'SQL', 'C++']",['CFA Level 1'],0,Healthcare,"['Hackathons', 'Coding Club']",Software Engineering Intern
Ethan,Taylor,Ethan Taylor,3.03,Computer Science,"['Machine Learning', 'Algorithms']","['Network Security', 'Python', 'Risk Management']",['CFA Level 1'],2,Government,"['Research Assistant', 'Coding Club']",Cybersecurity Intern
Amelia,Thomas,Amelia Thomas,2.8,Software Engineering,"['Cloud Computing', 'Databases']","['Cloud Computing', 'Risk Management', 'Java']",['CFA Level 1'],3,Healthcare,"['Finance Club', 'Coding Club']",Financial Analyst Intern
James,Hernandez,James Hernandez,3.36,Cybersecurity,"['Ethical Hacking', 'Cyber Law']","['Python', 'Network Security', 'Financial Analysis']",['AWS Certified'],0,Finance,"['Research Assistant', 'Hackathons']",Cybersecurity Intern
Harper,Moore,Harper Moore,3.61,Data Analytics,"['Statistics', 'Python for Data Science']","['Cloud Computing', 'Machine Learning', 'Risk Management']",['PMP'],2,Education,"['Coding Club', 'Student Government']",Data Analyst Intern
Alexander,Martin,Alexander Martin,2.78,Cybersecurity,"['Cyber Law', 'Ethical Hacking']","['Network Security', 'Financial Analysis', 'Java']",['PMP'],1,Tech,"['Research Assistant', 'Coding Club']",Cybersecurity Intern
Evelyn,Jackson,Evelyn Jackson,3.16,Finance,"['Risk Management', 'Financial Modeling']","['Network Security', 'Data Analysis', 'Risk Management']",['Certified Ethical Hacker'],1,Education,"['Finance Club', 'Coding Club']",Cybersecurity Intern
Benjamin,Thompson,Benjamin Thompson,2.87,Software Engineering,"['Software Development', 'Cloud Computing']","['C++', 'Network Security', 'Cloud Computing']",['Certified Ethical Hacker'],2,Finance,"['Hackathons', 'Student Government']",Cybersecurity Intern
Abigail,White,Abigail White,3.75,Software Engineering,"['Software Development', 'DevOps']","['Data Analysis', 'Risk Management', 'Machine Learning']",['Google Data Analytics'],3,Finance,"['Research Assistant', 'Student Government']",Data Analyst Intern
Liam,Smith,Liam Smith,2.92,Business Analytics,"['Data Analytics', 'Business Intelligence']","['SQL', 'Risk Management', 'C++']",['AWS Certified'],0,Education,"['Coding Club', 'Research Assistant']",Financial Analyst Intern
Emma,Johnson,Emma Johnson,3.84,Data Analytics,"['Big Data', 'Python for Data Science']","['SQL', 'Financial Analysis', 'Network Security']",['CFA Level 1'],1,Finance,"['Student Government', 'Research Assistant']",Cybersecurity Intern
Noah,Brown,Noah Brown,3.58,Finance,"['Risk Management', 'Financial Modeling']","['C++', 'Data Analysis', 'Java']",['Google Data Analytics'],3,Education,"['Finance Club', 'Student Government']",Data Analyst Intern
